airline_name,iata_code,icao_code,callsign,country
Go One Airways,GK,,,United Kingdom
GoJet Airlines,G7,GJS,GATEWAY,United States
Gol Transportes Aéreos,G3,GLO,GOL TRANSPORTE,Brazil
Golden Air,DC,GAO,GOLDEN,Sweden
Gorkha Airlines,G1,IKA,GORKHA AIRLINES,Nepal
Grant Aviation,GS,GUN,HOOT,United States
Great Lakes Airlines,ZK,GLA,LAKES AIR,United States
Great Wall Airlines,IJ,GWL,GREAT WALL,China
Grupo TACA,TA,TAT,TACA-COSTARICA,Costa Rica
Guine Bissaur Airlines,G6,BSR,BISSAU AIRLINES,Guinea-Bissau
Guinee Airlines,J9,GIF,GUINEE AIRLINES,Guinea
Gujarat Airways,G8,GUJ,GUJARATAIR,India
Gulf Air Bahrain,GF,GBA,GULF BAHRAIN,Bahrain
Guyana Airways 2000,GY,,,
Hageland Aviation Services,H6,HAG,HAGELAND,United States
Hahn Air,HR,HHN,ROOSTER,Germany
Hainan Airlines,HU,CHH,HAINAN,China
Hainan Phoenix Information Systems,1R,,,China
Haiti Ambassador Airlines,2T,HAM,,Haiti
Hamburg International,4R,HHI,HAMBURG JET,Germany
TUIfly,X3,HLX,YELLOW CAB,Germany
Hapagfly,HF,HLF,HAPAG LLOYD,Germany
Harbor Airlines,HB,HAR,HARBOR,United States
Harmony Airways,HQ,HMY,HARMONY,Canada
Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
Hawaiian Pacific Airlines,HP,,,United States
Hawkair,BH,,,Canada
Heavylift Cargo Airlines,HN,HVY,HEAVY CARGO,Australia
Heli France,8H,HFR,HELIFRANCE,France
Helijet,JB,JBA,HELIJET,Canada
Helios Airways,ZU,HCY,HELIOS,Cyprus
Hellas Jet,T4,HEJ,HELLAS JET,Greece
Hello,HW,FHE,FLYHELLO,Switzerland
Helvetic Airways,2L,OAW,HELVETIC,Switzerland
Hemus Air,DU,HMS,HEMUS AIR,Bulgaria
Hewa Bora Airways,EO,ALX,ALLCONGO,Democratic Republic of the Congo
Hex'Air,UD,HER,HEX AIRLINE,France
Hi Fly,5K,HFY,SKY FLYER,Portugal
Hokkaido International Airlines,HD,ADO,AIR DO,Japan
Hola Airlines,H5,HOA,HOLA,Spain
Hong Kong Airlines,HX,CRK,BAUHINIA,Hong Kong SAR of China
Hong Kong Express Airways,UO,HKE,HONGKONG SHUTTLE,Hong Kong SAR of China
Hope Air,HH,,HOPE AIR,Canada
Horizon Air,QX,QXE,HORIZON AIR,United States
Horizon Airlines,BN,HZA,,Australia
Héli Sécurité Helicopter Airlines,H4,,,France
IBC Airways,II,CSQ,CHASQUI,United States
ICAR Airlines,C3,,,Ukraine
INFINI Travel Information,1F,,,Japan
ITA Software,1U,,,United States
Iberia Airlines,IB,IBE,IBERIA,Spain
Iberworld,TY,IWD,,Spain
Ibex Airlines,FW,IBX,IBEX,Japan
Icelandair,FI,ICE,ICEAIR,Iceland
Imair Airlines,IK,ITX,IMPROTEX,Azerbaijan
Independence Air,DH,IDE,INDEPENDENCE AIR,United States
IndiGo Airlines,6E,IGO,IFLY,India
Indian Airlines,IC,IAC,INDAIR,India
Indigo,I9,IBU,INDIGO BLUE,United States
Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
Indonesian Airlines,IO,IAA,INDO LINES,Indonesia
InteliJet Airways,IJ,IJT,INTELIJET,Colombia
Inter Islands Airlines,H4,IIN,,Cape Verde
Interair South Africa,D6,ILN,INLINE,South Africa
Interavia Airlines,ZA,SUW,ASTAIR,Russia
Intercontinental de Aviaci,RS,ICT,CONTAVIA,Colombia
Interlink Airlines,ID,ITK,INTERLINK,South Africa
International Business Air,6I,IBZ,INTERBIZ,Sweden
Intersky,3L,ISK,INTERSKY,Austria
Interstate Airline,I4,FWA,FREEWAYAIR,Netherlands
Iran Air,IR,IRA,IRANAIR,Iran
Iran Aseman Airlines,EP,IRC,,Iran
Iraqi Airways,IA,IAW,IRAQI,Iraq
Island Airlines,IS,,,United States
Island Express,2S,SDY,SANDY ISLE,United States
Cargo Plus Aviation,8L,CGP,,United Arab Emirates
Islands Nationair,CN,,,Papua New Guinea
Islas Airways,IF,ISW,PINTADERA,Spain
Islena De Inversiones,WC,ISV,,Honduras
Israir,6H,ISR,ISRAIR,Israel
Itali Airlines,9X,ACL,ITALI,Italy
Itek Air,GI,IKA,ITEK-AIR,Kyrgyzstan
Izair,H9,IZM,IZMIR,Turkey
JAL Express,JC,JEX,JANEX,Japan
JALways,JO,JAZ,JALWAYS,Japan
JSC Transport Automated Information Systems,1M,,,Russia
Japan Airlines,JL,JAL,JAPANAIR,Japan
Japan Airlines Domestic,JL,JAL,J-BIRD,Japan
Japan Asia Airways,EG,JAA,ASIA,Japan
Japan Transocean Air,NU,JTA,JAI OCEAN,Japan
Jat Airways,JU,JAT,JAT,Serbia
Jatayu Airlines,VJ,JTY,JATAYU,Indonesia
Jazeera Airways,J9,JZR,JAZEERA,Kuwait
Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
Jet Airways,9W,JAI,JET AIRWAYS,India
Jet Airways,QJ,,,United States
Jetclub,0J,,,Switzerland
Jetstar Asia Airways,3K,JSA,JETSTAR ASIA,Singapore
Jet2.com,LS,EXS,CHANNEX,United Kingdom
Jet4You,8J,JFU,ARGAN,Morocco
JetBlue Airways,B6,JBU,JETBLUE,United States
Jetairfly,JF,JAF,BEAUTY,Belgium
Jetclub,0J,JCS,JETCLUB,Switzerland
JetsGo,SG,JGO,JETSGO,Canada
Jetstar Airways,JQ,JST,JETSTAR,Australia
Jett8 Airlines Cargo,JX,JEC,,Singapore
Jetx Airlines,GX,JXX,JETBIRD,Iceland
Jordan Aviation,R5,JAV,JORDAN AVIATION,Jordan
Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
KD Avia,KD,KNI,KALININGRAD AIR,Russia
KLM Cityhopper,WA,KLC,CITY,Netherlands
KLM Royal Dutch Airlines,KL,KLM,KLM,Netherlands
Kabo Air,N2,QNK,KABO,Nigeria
Kalitta Air,K4,CKS,CONNIE,United States
Kam Air,RQ,KMF,KAMGAR,Afghanistan
Kampuchea Airlines,E2,KMP,KAMPUCHEA,Cambodia
Karat,V2,AKT,AVIAKARAT,Russia
Kavminvodyavia,KV,MVD,AIR MINVODY,Russia
Kenmore Air,M5,KEN,KENMORE,United States
Kenya Airways,KQ,KQA,KENYA,Kenya
Keystone Air Services,BZ,KEE,KEYSTONE,Canada
Kingfisher Airlines,IT,KFR,KINGFISHER,India
Kish Air,Y9,IRK,KISHAIR,Iran
Kiwi International Air Lines,KP,KIA,KIWI AIR,United States
Kogalymavia Air Company,7K,KGL,KOGALYM,Russia
Komiinteravia,8J,KMV,KOMIINTER,Russia
Korean Air,KE,KAL,KOREANAIR,Republic of Korea
Krasnojarsky Airlines,7B,KJC,KRASNOJARSKY AIR,Russia
Krylo Airlines,K9,KRI,Krylo,Russia
Kuban Airlines,GW,KIL,AIR KUBAN,Russia
Kunpeng Airlines,VD,KPA,KUNPENG,China
Kuwait Airways,KU,KAC,KUWAITI,Kuwait
Kuzu Airlines Cargo,GO,KZU,KUZU CARGO,Turkey
Kyrgyz Airlines,N5,KGZ,BERMET,Kyrgyzstan
Kyrgyzstan,QH,LYN,ALTYN AVIA,Kyrgyzstan
Kyrgyzstan Airlines,R8,KGA,KYRGYZ,Kyrgyzstan
Kibris T,KY,KYV,AIRKIBRIS,Turkey
L.A.B. Flying Service,JF,LAB,LAB,United States
LACSA,LR,LRC,LACSA,Costa Rica
LAI - Linea Aerea IAACA,KG,BNX,AIR BARINAS,Venezuela
LAN Airlines,LA,LAN,LAN,Chile
LAN Argentina,4M,DSM,LAN AR,Argentina
LAN Express,LU,LXP,LANEX,Chile
LAN Peru,LP,LPE,LANPERU,Peru
LOT Polish Airlines,LO,LOT,POLLOT,Poland
LTE International Airways,XO,LTE,FUN JET,Spain
LTU Austria,L3,LTO,BILLA TRANSPORT,Austria
LTU International,LT,LTU,LTU,Germany
Lagun Air,N6,JEV,,Spain
Lankair,IK,LKN,Lankair,Sri Lanka
Lao Airlines,QV,LAO,LAO,Lao Peoples Democratic Republic
Laoag International Airlines,L7,LPN,LAOAG AIR,Philippines
Lauda Air,NG,LDA,LAUDA AIR,Austria
Lebanese Air Transport,LQ,LAQ,LAT,Lebanon
Leeward Islands Air Transport,LI,LIA,LIAT,Antigua and Barbuda
Libyan Arab Airlines,LN,LAA,LIBAIR,Libya
Linea Aerea SAPSA,L7,LNP,SAPSA,Chile
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,LASER,Venezuela
Linea Turistica Aerotuy,LD,TUY,AEREOTUY,Venezuela
Lineas Aereas Azteca,ZE,LCD,LINEAS AZTECA,Mexico
Linhas A,LM,LAM,MOZAMBIQUE,Mozambique
Lion Mentari Airlines,JT,LNI,LION INTER,Indonesia
Livingston,LM,LVG,LIVINGSTON,Italy
Lloyd Aereo Boliviano,LB,LLB,LLOYDAEREO,Bolivia
Luftfahrtgesellschaft Walter,HE,LGW,WALTER,Germany
Lufthansa,LH,DLH,LUFTHANSA,Germany
Lufthansa Cargo,LH,GEC,LUFTHANSA CARGO,Germany
Lufthansa CityLine,CL,CLH,HANSALINE,Germany
Lufthansa Systems,L1,,,Germany
Lufttaxi Fluggesellschaft,DV,LTF,Garfield,Germany
Lufttransport,L5,LTR,LUFT TRANSPORT,Norway
Luxair,LG,LGL,LUXAIR,Luxembourg
Lviv Airlines,5V,UKW,UKRAINE WEST,Ukraine
Lynden Air Cargo,L2,LYC,LYNDEN,United States
L,MJ,LPR,LAPA,Argentina
MasAir,M7,MAA,MAS CARGA,Mexico
MAT Macedonian Airlines,IN,MAK,MAKAVIO,Macedonia
MIAT Mongolian Airlines,OM,MGL,MONGOL AIR,Mongolia
MNG Airlines,MB,MNB,BLACK SEA,Turkey
Macair Airlines,CC,MCK,,Australia
Maersk,DM,,,Denmark
Mahan Air,W5,IRM,MAHAN AIR,Iran
Mahfooz Aviation,M2,MZS,MAHFOOZ,Gambia
Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
Malmö Aviation,TF,SCW,Scanwings,Sweden
Malta Air Charter,R5,MAC,MALTA CHARTER,Malta
Malév,MA,MAH,MALEV,Hungary
Mandala Airlines,RI,MDL,MANDALA,Indonesia
Mandarin Airlines,AE,MDA,Mandarin,Taiwan
Mango,JE,MNO,TULCA,South Africa
Mars RK,6V,MRW,AVIAMARS,Ukraine
Marsland Aviation,M7,MSL,MARSLANDAIR,Sudan
Martinair,MP,MPH,MARTINAIR,Netherlands
Mastertop Linhas Aereas,Q4,,,Brazil
Mavial Magadan Airlines,H5,MVL,Mavial,Russia
Maxair,8M,MXL,MAXAIR,Sweden
Maxjet Airways,MY,MXJ,MAX-JET,United States
Maya Island Air,MW,MYD,MYLAND,Belize
Menajet,IM,MNJ,MENAJET,Lebanon
Meridiana,IG,ISS,MERAIR,Italy
Merpati Nusantara Airlines,MZ,MNA,MERPATI,Indonesia
Mesa Airlines,YV,ASH,AIR SHUTTLE,United States
Mesaba Airlines,XJ,MES,MESABA,United States
Mexicana de Aviaci,MX,MXA,MEXICANA,Mexico
Miami Air International,GL,BSK,BISCAYNE,United States
Middle East Airlines,ME,MEA,CEDAR JET,Lebanon
Midway Airlines,JI,MDW,MIDWAY,United States
Midwest Airlines,YX,MEP,,United States
Midwest Airlines (Egypt),MY,MWA,,Egypt
Moldavian Airlines,2M,MDV,MOLDAVIAN,Moldova
Monarch Airlines,ZB,MON,MONARCH,United Kingdom
Myway Airlines,8I,,,Italy
Montenegro Airlines,YM,MGX,MONTAIR,Montenegro
Moskovia Airlines,3R,GAI,GROMOV AIRLINE,Russia
Motor Sich,M9,MSI,MOTOR SICH,Ukraine
Mount Cook Airlines,NM,NZM,MOUNTCOOK,New Zealand
Mountain Air Company,N4,MTC,MOUNTAIN LEONE,Sierra Leone
MyTravel Airways,VZ,MYT,KESTREL,United Kingdom
Myanma Airways,UB,UBA,UNIONAIR,Myanmar
Myanmar Airways International,8M,MMM,assignment postponed,Myanmar
Nantucket Airlines,DV,ACK,ACK AIR,United States
Nas Air,P9,,,Mali
Nasair,UE,NAS,NASAIRWAYS,Eritrea
National Airlines,N4,NCN,,Chile
National Airlines,N7,ROK,RED ROCK,United States
National Airlines,NA,NAL,NATIONAL,United States
National Airways Cameroon,9O,,,Cameroon
National Jet Systems,NC,NJS,NATIONAL JET,Australia
Nationwide Airlines,CE,NTW,NATIONWIDE,South Africa
Nauru Air Corporation,ON,RON,AIR NAURU,Nauru
Navitaire,1N,,,United States
Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal
Neos,NO,NOS,MOONFLOWER,Italy
NetJets,1I,EJA,EXECJET,United States
New England Airlines,EJ,NEA,NEW ENGLAND,United States
NextJet,2N,NTJ,NEXTJET,Sweden
Niki,HG,NLY,FLYNIKI,Austria
Nippon Cargo Airlines,KZ,NCA,NIPPON CARGO,Japan
Nok Air,DD,NOK,NOK AIR,Thailand
Nordeste Linhas Aereas Regionais,JH,NES,NORDESTE,Brazil
Nordic Regional,6N,NRD,NORTH RIDER,Sweden
North Coast Aviation,N9,,,Papua New Guinea
North Flying,M3,NFA,NORTH FLYING,Denmark
North-Wright Airways,HW,NWL,NORTHWRIGHT,Canada
Northern Air Cargo,NC,NAC,YUKON,United States
Northern Dene Airways,U7,,,Canada
Northwest Airlines,NW,NWA,NORTHWEST,United States
Northwest Regional Airlines,FY,NWR,,Australia
Northwestern Air,J3,PLR,POLARIS,Canada
Norwegian Air Shuttle,DY,NAX,NOR SHUTTLE,Norway
Nouvel Air Tunisie,BJ,LBT,NOUVELAIR,Tunisia
Nova Airline,M4,NOV,NOVANILE,Sudan
Novair,1I,NVR,NAVIGATOR,Sweden
Nuevo Continente,N6,ACQ,AERO CONTINENTE,Peru
Nas Air,XY,KNE,NAS EXPRESS,Saudi Arabia
O'Connor Airlines,UQ,OCM,OCONNOR,Australia
OAG,CR,,,United Kingdom
Oasis Hong Kong Airlines,O8,OHK,OASIS,Hong Kong
Ocean Airlines,VC,VCX,OCEANCARGO,Italy
Oceanair,O6,ONE,OCEANAIR,Brazil
Oceanic Airlines,O2,,,Guinea
Olympic Airlines,OA,OAL,OLYMPIC,Greece
Oman Air,WY,OMA,OMAN AIR,Oman
Omni Air International,OY,OAE,OMNI-EXPRESS,United States
Omskavia Airline,N3,OMS,OMSK,Russia
Onur Air,8Q,OHY,ONUR AIR,Turkey
Orenburg Airlines,R2,ORB,ORENBURG,Russia
Orient Thai Airlines,OX,OEA,ORIENT THAI,Thailand
Origin Pacific Airways,QO,OGN,ORIGIN,New Zealand
Ostfriesische Lufttransport,OL,OLT,OLTRA,Germany
Our Airline,ON,RON,OUR AIRLINE,Nauru
Overland Airways,OJ,OLA,OVERLAND,Nigeria
Ozark Air Lines,OZ,OZR,OZARK,United States
Ozjet Airlines,O7,OZJ,AUSJET,Australia
PAN Air,PV,PNR,SKYJET,Spain
PB Air,9Q,PBA,PEEBEE AIR,Thailand
PLUNA,PU,PUA,PLUNA,Uruguay
PMTair,U4,PMT,MULTITRADE,Cambodia
Pace Airlines,Y5,PCE,PACE,United States
Jetstar Pacific,BL,PIC,PACIFIC AIRLINES,Vietnam
Pacific Blue,DJ,PBN,BLUEBIRD,New Zealand
Pacific Coastal Airline,8P,PCO,PASCO,Canada
Pacific East Asia Cargo Airlines,Q8,PEC,PAC-EAST CARGO,Philippines
Pacific Southwest Airlines,PS,PSX,SMILEY,United States
Pacific Wings,LW,NMI,TSUNAMI,United States
Pacificair,GX,,,Philippines
Pakistan International Airlines,PK,PIA,PAKISTAN,Pakistan
Palau Trans Pacific Airline,GP,PTP,TRANS PACIFIC,Palau
Palestinian Airlines,PF,PNW,PALESTINIAN,Egypt
Pamir Airways,NR,PIR,PAMIR,Afghanistan
Pan American Airways,PA,PAA,,United States
Pan American World Airways,PA,PAA,CLIPPER,United States
Panafrican Airways,PQ,PNF,PANWAYS,Ivory Coast
Pantanal Linhas Aéreas,P8,PTN,PANTANAL,Brazil
Paramount Airways,I7,PMW,PARAWAY,India
Pearl Airways,HP,HPA,PEARL AIRWAYS,Haiti
Pegasus Airlines,PC,PGT,SUNTURK,Turkey
Pegasus Hava Tasimaciligi,1I,,,Turkey
Peninsula Airways,KS,PEN,PENINSULA,United States
Perm Airlines,P9,PGP,PERM AIR,Russia
Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
Phoenix Airways,HP,,,Switzerland
Phuket Air,9R,VAP,PHUKET AIR,Thailand
Piedmont Airlines (1948-1989),PI,PDT,PIEDMONT,United States
Pinnacle Airlines,9E,FLG,FLAGSHIP,United States
Polar Air Cargo,PO,PAC,POLAR,United States
Polynesian Airlines,PH,PAO,POLYNESIAN,Samoa
Polynesian Blue,DJ,PLB,POLYBLUE,New Zealand
Polyot Sirena,1U,,,Russia
Porter Airlines,PD,POE,PORTER AIR,Canada
Portugalia,NI,PGA,PORTUGALIA,Portugal
Potomac Air,BK,PDC,DISTRICT,United States
Precision Air,PW,PRF,PRECISION AIR,Tanzania
President Airlines,TO,PSD,,Cambodia
Primaris Airlines,FE,WCP,WHITECAP,United States
Princess Air,8Q,,,
Private Wings Flugcharter,8W,PWF,PRIVATE WINGS,Germany
Proflight Commuter Services,P0,,,Zambia
Qantas,QF,QFA,QANTAS,Australia
Qatar Airways,QR,QTR,QATARI,Qatar
RACSA,R6,,,Guatemala
Radixx Solutions International,1D,,,United States
Redhill Aviation,8L,RHC,REDAIR,United Kingdom
Reem Air,V4,REK,REEM AIR,Kyrgyzstan
Regional Airlines,FN,,,Morocco
Regional Express,ZL,RXA,REX,Australia
RegionsAir,3C,CEA,CORP-X,United States
Reno Air,QQ,ROA,RENO AIR,United States
Republic Airlines,RW,RPA,BRICKYARD,United States
Republic Express Airlines,RH,RPH,PUBLIC EXPRESS,Indonesia
Rico Linhas A,C7,RLE,RICO,Brazil
Rio Grande Air,E2,GRN,GRANDE,United States
Rio Sul Servi,SL,RSL,RIO SUL,Brazil
Rossiya,R4,,,Russia
Air Rarotonga,GZ,RAR,,Cook Islands
Royal Air Force,RR,RFR,RAFAIR,United Kingdom
Royal Air Force of Oman,RS,MJN,MAJAN,Oman
Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
Royal Airlines,R0,RPK,ROYAL PAKISTAN,Pakistan
Royal Aruban Airline,V5,RYL,ROYAL ARUBAN,Aruba
Royal Brunei Airlines,BI,RBA,BRUNEI,Brunei
Royal Jordanian,RJ,RJA,JORDANIAN,Jordan
Royal Khmer Airlines,RK,RKH,KHMER AIR,Cambodia
Royal Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal
Royal Tongan Airlines,WR,HRH,TONGA ROYAL,Tonga
Russian Sky Airlines,P7,ESL,RADUGA,Russia
Rwandair Express,WB,RWD,RWANDAIR,Rwanda
Ryan International Airlines,RD,RYN,RYAN INTERNATIONAL,United States
Ryanair,FR,RYR,RYANAIR,Ireland
Régional,YS,RAE,REGIONAL EUROPE,France
SATA International,S4,RZO,AIR AZORES,Portugal
South African Airways,SA,SAA,SPRINGBOK,South Africa
Shaheen Air International,NL,SAI,SHAHEEN AIR,Pakistan
Scandinavian Airlines System,SK,SAS,SCANDINAVIAN,Sweden
S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
Seaborne Airlines,BB,SBS,SEABORNE,United States
SriLankan Airlines,UL,ALK,SRILANKAN,Sri Lanka
Sun Country Airlines,SY,SCX,SUN COUNTRY,United States
Sky Express,G3,SEH,AIR CRETE,Greece
Spicejet,SG,SEJ,SPICEJET,India
Sky Eyes,I6,SEQ,SKY EYES,Thailand
SAETA,EH,SET,SAETA,Ecuador
Star Flyer,7G,SFJ,STARFLYER,Japan
Safair,FA,SFR,CARGO,South Africa
Skagway Air Service,N5,SGY,SKAGWAY AIR,United States
SATA Air Acores,SP,SAT,SATA,Portugal
Scorpio Aviation,8S,,,
Singapore Airlines,SQ,SIA,SINGAPORE,Singapore
Sibaviatrans,5M,SIB,SIBAVIA,Russia
Skynet Airlines,SI,SIH,BLUEJET,Ireland
SITA,XS,SIT,,Belgium
Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
Sama Airlines,ZS,SMY,NAJIM,Saudi Arabia
Singapore Airlines Cargo,SQ,SQC,SINGCARGO,Singapore
Siem Reap Airways,FT,SRH,SIEMREAP AIR,Cambodia
Sky Work Airlines,SX,SRK,SKYFOX,Switzerland
Swedline Express,SM,SRL,Starline,Sweden
South East Asian Airlines,DG,SRQ,SEAIR,Philippines
SwedJet Airways,VD,BBB,BLACKBIRD,Sweden
Skyservice Airlines,5G,SSV,SKYTOUR,Canada
Servicios de Transportes A,FS,STU,FUEGUINO,Argentina
Sudan Airways,SD,SUD,SUDANAIR,Sudan
Sun Air (Fiji),PI,SUF,SUNFLOWER,Fiji
Sun Air of Scandinavia,EZ,SUS,SUNSCAN,Denmark
Saudi Arabian Airlines,SV,SVA,SAUDIA,Saudi Arabia
Southwest Airlines,WN,SWA,SOUTHWEST,United States
Southern Winds Airlines,A4,SWD,SOUTHERN WINDS,Argentina
Sunwing Airlines,WG,SWG,SUNWING,Canada
Swiss International Air Lines,LX,SWR,SWISS,Switzerland
Swissair,SR,SWR,Swissair,Switzerland
Swe Fly,WV,SWV,FLYING SWEDE,Sweden
Shovkoviy Shlyah,S8,SWW,WAY AERO,Ukraine
SunExpress,XQ,SXS,SUNEXPRESS,Turkey
Syrian Arab Airlines,RB,SYR,SYRIANAIR,Syrian Arab Republic
Skywalk Airlines,AL,SYX,SKYWAY-EX,United States
Silk Way Airlines,ZP,AZQ,SILK LINE,Azerbaijan
Samara Airlines,E5,BRZ,BERYOZA,Russia
Shandong Airlines,SC,CDG,SHANDONG,China
Spring Airlines,9S,CQH,AIR SPRING,China
Sichuan Airlines,3U,CSC,SI CHUAN,China
Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
Shanxi Airlines,8C,CXI,SHANXI,China
Sun D'Or,7L,ERO,ECHO ROMEO,Israel
SkyEurope,NE,ESK,RELAX,Slovakia
Sunshine Express Airlines,CQ,EXL,,Australia
Superior Aviation,SO,HKA,SPEND AIR,United States
Spanair,JK,JKK,SPANAIR,Spain
San Juan Airlines,2G,MRR,MARINER,United States
Sabre Pacific,1Z,,,Australia
Sabre,1S,,,United States
Sierra Nevada Airlines,1I,,,United States
Siren-Travel,1H,,,Russia
Sirena,1Q,,,Russia
Sky Trek International Airlines,1I,,,
Southern Cross Distribution,1K,,,Australia
Sutra,1K,,,United States
SNCF,2C,,,France
Star Equatorial Airlines,2S,,,Guinea
Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
SATENA,9R,NSE,SATENA,Colombia
Slok Air Gambia,S0,OKS,SLOK GAMBIA,Gambia
Sosoliso Airlines,SO,OSL,SOSOLISO,Nigeria
Sky Trek International Airlines,1I,PZR,PHAZER,United States
Skybus Airlines,SX,SKB,SKYBUS,United States
SkyKing Turks and Caicos Airways,RU,SKI,SKYKING,Turks and Caicos Islands
Santa Barbara Airlines,S3,BBR,SANTA BARBARA,Venezuela
Sky Airline,H2,SKU,AEROSKY,Chile
SkyWest,OO,SKW,SKYWEST,United States
Skyways Express,JZ,SKX,SKY EXPRESS,Sweden
Skymark Airlines,BC,SKY,SKYMARK,Japan
Sierra National Airlines,LJ,SLA,SELAIR,Sierra Leone
SilkAir,MI,SLK,SILKAIR,Singapore
Slovak Airlines,6Q,SLL,SLOV LINE,Slovakia
Surinam Airways,PY,SLM,SURINAM,Suriname
Servant Air,8D,,,United States
Sterling Airlines,NB,SNB,STERLING,Denmark
Skynet Asia Airways,6J,SNJ,NEWSKY,Japan
Solomon Airlines,IE,SOL,SOLOMON,Solomon Islands
Saratov Aviation Division,6W,SOV,SARATOV AIR,Russia
Sat Airlines,HZ,SOZ,SATCO,Kazakhstan
Shuttle America,S5,TCF,MERCURY,United States
Scat Air,DV,VSV,VLASTA,Kazakhstan
Sirin,R1,,,
Star Air,S6,,,Denmark
TAME,EQ,TAE,TAME,Ecuador
TAM Brazilian Airlines,JJ,TAM,TAM,Brazil
TAP Portugal,TP,TAP,AIR PORTUGAL,Portugal
Tunisair,TU,TAR,TUNAIR,Tunisia
TNT Airways,3V,TAY,QUALITY,Belgium
Tropical Airways,M7,TBG,,Haiti
Thai Air Cargo,T2,TCG,THAI CARGO,Thailand
Thomas Cook Airlines,FQ,TCW,THOMAS COOK,Belgium
Thomas Cook Airlines,MT,TCX,KESTREL,United Kingdom
Tandem Aero,TQ,TDM,TANDEM,Moldova
Teamline Air,L9,TLW,Teamline,Austria
Transeuropean Airlines,UE,TEP,TRANSEURLINE,Russia
Titan Airways,ZT,AWC,ZAP,United Kingdom
Tiger Airways,TR,TGW,GO CAT,Singapore
Tiger Airways Australia,TT,TGW,GO CAT,Australia
Thai Airways International,TG,THA,THAI,Thailand
Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
Turkish Airlines,TK,THY,TURKAIR,Turkey
Twin Jet,T7,TJT,TWINJET,France
Thai Sky Airlines,9I,TKY,THAI SKY,Thailand
Tulip Air,TD,TLP,TULIPAIR,Netherland
Trans Mediterranean Airlines,TL,TMA,TANGO LIMA,Lebanon
Tri-MG Intra Asia Airlines,GY,TMG,TRILINES,Indonesia
Tiara Air,3P,TNM,TIARA,Aruba
Tobruk Air,7T,TOB,TOBRUK AIR,Libya
Tol-Air Services,TI,TOL,TOL AIR,United States
Thomsonfly,BY,TOM,TOMSON,United Kingdom
Tropic Air,PM,TOS,TROPISER,Belize
Tower Air,FF,TOW,TEE AIR,United States
TAMPA,QT,TPA,TAMPA,Colombia
TransAsia Airways,GE,TNA,TransAsia,Taiwan
Transavia Holland,HV,TRA,TRANSAVIA,Netherlands
TACV,VR,TCV,CABOVERDE,Portugal
TransMeridian Airlines,T9,TRZ,TRANS-MERIDIAN,United States
Transmile Air Services,TH,TSE,TRANSMILE,Malaysia
Trast Aero,S5,TSJ,TRAST AERO,Kyrgyzstan
Transwest Air,9T,ABS,ATHABASKA,Canada
Transaero Airlines,UN,TSO,TRANSOVIET,Russia
Thai Star Airlines,T9,TSX,THAI STAR,Thailand
Turkmenistan Airlines,T5,TUA,TURKMENISTAN,Turkmenistan
Tuninter,UG,TUI,,Tunisia
Tavrey Airlines,T6,TVR,TAVREY,Ukraine
Travel Service,QS,TVS,SKYTRAVEL,Czech Republic
Trans World Airlines,TW,TWA,TWA,United States
Transaviaexport,AL,TXC,TRANSEXPORT,Belarus
TUIfly Nordic,6B,BLX,BLUESCAN,Sweden
TAAG Angola Airlines,DT,DTA,DTA,Angola
Tassili Airlines,SF,DTH,TASSILI AIR,Algeria
TAM Mercosur,PZ,LAP,PARAGUAYA,Paraguay
Trans States Airlines,AX,LOF,WATERSKI,United States
Travelsky Technology,1E,,,China
Thalys,2H,,,Belgium
Open Skies Consultative Commission,1L,OSY,OPEN SKIES,United States
Tarom,RO,ROT,TAROM,Romania
Turan Air,3T,URN,TURAN,Azerbaijan
TRIP Linhas A,8R,TIB,TRIP,Brazil
Transports et Travaux A,OF,,,
USA3000 Airlines,U5,GWY,GETAWAY,United States
United Airlines,UA,UAL,UNITED,United States
United Feeder Service,U2,,,United States
USA Jet Airlines,U7,JUS,JET USA,United States
Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
UM Airlines,UF,UKM,UKRAINE MEDITERRANEE,Ukraine
Ukrainian Cargo Airways,6Z,UKS,CARGOTRANS,Ukraine
United Parcel Service,5X,UPS,UPS,United States
US Airways,US,USA,U S AIR,United States
UTair Aviation,UT,UTA,UTAIR,Russia
Uzbekistan Airways,HY,UZB,UZBEK,Uzbekistan
